title,score,developer,publisher,rom_name,size
Grand Theft Auto IV,9.8,Rockstar North,Rockstar Games,"Grand Theft Auto V (Japan) (En,Ja) (v02.00).iso",18430033920
Grand Theft Auto V,9.7,Rockstar North,Rockstar Games,"Grand Theft Auto V (USA, Asia) (En,Fr,Es,Pt,Zh,Ko).iso",18738249728
Batman: Arkham City,9.6,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Batman - Arkham City (Japan) (En,Ja,Fr,De,Es,It,Pt,Ko,Pl,Ru).iso",8347648000
Uncharted 2: Among Thieves,9.6,Naughty Dog,SCEA,"Uncharted 2 - Among Thieves (USA) (En,Fr,Es).iso",21907701760
LittleBigPlanet,9.5,Media Molecule,SCEA,"LittleBigPlanet 3 (USA) (En,Fr).iso",8406564864
Portal 2,9.5,Valve Software,Valve Software,"Portal 2 (USA) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Zh,Ko,Pl,Ru).iso",6128664576
Red Dead Redemption,9.5,Rockstar San Diego,Rockstar Games,"Red Dead Redemption (USA) (En,Fr,De,Es,It).iso",8242921472
The Last of Us,9.5,Naughty Dog,SCEA,"Last of Us, The (USA) (En,Fr,Es,Pt).iso",35380920320
Vanquish,9.5,PlatinumGames,Sega,"Vanquish (USA) (En,Ja,Fr,De,Es,It).iso",12701138944
BioShock,9.4,Irrational Games,2K Games,"BioShock (USA) (En,Fr,Es).iso",12322668544
BioShock Infinite,9.4,Irrational Games,2K Games,"BioShock Infinite (USA) (En,Fr,De,Es,It,Pt) (BLUS-31177).iso",7140147200
Call of Duty 4: Modern Warfare,9.4,Infinity Ward,Activision,Call of Duty 4 - Modern Warfare (USA).iso,8411348992
Call of Duty: Modern Warfare 2,9.4,Infinity Ward,Activision,Call of Duty 4 - Modern Warfare (USA).iso,8411348992
Mass Effect 2,9.4,BioWare,Electronic Arts,"Mass Effect 3 (Japan) (En,Ja,Fr,De,Es,It,Pl,Ru).iso",15064694784
Metal Gear Solid 4: Guns of the Patriots,9.4,Kojima Productions,Konami,"Metal Gear Solid 4 - Guns of the Patriots (USA) (En,Fr,De,Es,It) (v02.00).iso",32681033728
Street Fighter IV,9.4,Capcom,Capcom,"Street Fighter IV (USA, Korea) (En,Ja,Fr,De,Es,It,Ko).iso",11387011072
The Walking Dead: A Telltale Games Series,9.4,Telltale Games,Telltale Games,"Wolf Among Us, The - A Telltale Games Series (USA) (En,Fr,De,Es).iso",3850108928
Braid,9.3,Number None Inc.,Number None Inc.,"Grid (USA) (En,Fr,De,Es,It).iso",17071472640
Mass Effect 3,9.3,BioWare,Electronic Arts,"Mass Effect 3 (USA, Asia) (En,Ja,Fr,De,Es,It,Pl,Ru).iso",15064694784
Metal Gear Solid: The Legacy Collection,9.3,Konami,Konami,"Metal Gear Solid V - The Phantom Pain (USA) (En,Ja,Fr,De,Es,It,Pt,Ru).iso",12899516416
The Elder Scrolls IV: Oblivion,9.3,Bethesda Game Studios,2K Games,"Elder Scrolls IV, The - Shivering Isles (USA).iso",6279921664
God of War III,9.2,SCE Santa Monica,SCEA,God of War III (USA) (v02.00).iso,38169870336
Journey,9.2,ThatGameCompany,SCEA,Torne (Japan) (v04.00).iso,490864640
Rock Band,9.2,Harmonix Music Systems,MTV Games,Rock Band 3 (USA).iso,5881462784
Super Street Fighter IV,9.2,Capcom,Capcom,"Ultra Street Fighter IV (USA) (En,Ja,Fr,De,Es,It,Ko).iso",19465175040
The Elder Scrolls V: Skyrim,9.2,Bethesda Game Studios,Bethesda Softworks,"Elder Scrolls V, The - Skyrim (Japan) (v02.00).iso",5209784320
The ICO & Shadow of the Colossus Collection,9.2,Bluepoint Games,SCEA,"Ico & Shadow of the Colossus Collection, The (USA, Brazil) (En,Fr,Es).iso",11828461568
Uncharted 3: Drake's Deception,9.2,Naughty Dog,SCEA,"Uncharted 3 - Drake's Deception (USA) (En,Fr,Es,Pt).iso",49747525632
Assassin's Creed II,9.1,Ubisoft Montreal,Ubisoft,"Assassin's Creed III (USA) (En,Fr,Es,Pt) (v02.00).iso",11576803328
Batman: Arkham Asylum,9.1,Rocksteady Studios,Eidos Interactive,"Batman - Arkham Asylum (USA) (En,Fr,De,Es,It).iso",10005839872
BioShock 2: Minerva's Den,9.1,2K Marin,2K Games,,
Borderlands 2,9.1,Gearbox Software,2K Games,"Borderlands 2 (USA) (En,Fr,De,Es,It).iso",5977997312
Dark Souls II,9.1,From Software,Namco Bandai Games,"Dark Souls II (USA) (En,Fr,Es).iso",7860977664
FIFA Soccer 10,9.1,EA Sports,Electronic Arts,"FIFA Soccer 13 (USA) (En,Fr,Es).iso",6810894336
God of War Collection,9.1,Bluepoint Games,SCEA,"God of War Collection (USA, Asia) (v01.00).iso",24541396992
Killzone 2,9.1,Guerrilla,SCEA,"Killzone 3 (Japan) (En,Ja).iso",44942688256
