title,score,developer,publisher,rom_name,size,running_total
Grand Theft Auto III,9.7,DMA Design,Rockstar Games,Grand Theft Auto III (USA).iso,4.3 GiB,4.3 GiB
Tony Hawk's Pro Skater 3,9.7,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 3 (USA) (Rev 1).iso,3.0 GiB,7.3 GiB
Metal Gear Solid 2: Sons of Liberty,9.6,KCEJ,Konami,Metal Gear Solid 2 - Sons of Liberty (USA).iso,4.3 GiB,11.7 GiB
Resident Evil 4 (2005),9.6,Capcom,Capcom,Resident Evil 4 (USA).iso,4.1 GiB,15.8 GiB
ESPN NFL 2K5,9.5,Visual Concepts,Sega,ESPN NFL 2K5 (USA).iso,4.3 GiB,20.1 GiB
Gran Turismo 3: A-Spec,9.5,Polyphony Digital,SCEA,Gran Turismo 3 - A-Spec (USA) (v1.00).iso,3.6 GiB,23.7 GiB
Grand Theft Auto: San Andreas,9.5,Rockstar North,Rockstar Games,Grand Theft Auto - San Andreas (USA) (v3.00).iso,4.2 GiB,27.9 GiB
Grand Theft Auto: Vice City,9.5,Rockstar North,Rockstar Games,Grand Theft Auto - Vice City (USA) (v4.00).iso,3.6 GiB,31.5 GiB
Madden NFL 2003,9.5,EA Sports,EA Sports,Madden NFL 2003 (USA).iso,1.5 GiB,33.0 GiB
Devil May Cry,9.4,Capcom,Capcom,Devil May Cry (USA).iso,4.4 GiB,37.4 GiB
God of War (2005),9.4,SCE Santa Monica,SCEA,God of War (USA).iso,7.9 GiB,45.4 GiB
Madden NFL 2002,9.4,EA Sports,EA Sports,Madden NFL 2002 (USA).bin,571.0 MiB,45.9 GiB
Madden NFL 2004,9.4,EA Tiburon,EA Sports,Madden NFL 2004 (USA).iso,3.0 GiB,48.9 GiB
Metal Gear Solid 3: Subsistence,9.4,Kojima Productions,Konami,"Metal Gear Solid 3 - Subsistence (USA) (En,Es) (Disc 3) (Existence) (Limited Edition).iso",11.5 GiB,60.4 GiB
