title,score,developer,publisher,rom_name,size,running_total
Super Mario Galaxy 2,9.7,Nintendo EAD Tokyo ,Nintendo,"Super Mario Galaxy 2 (USA) (En,Fr,Es).iso",4.4 GiB,4.4 GiB
Super Mario Galaxy,9.7,Nintendo,Nintendo,"Super Mario Galaxy (USA) (En,Fr,Es).iso",4.4 GiB,8.8 GiB
The Legend of Zelda: Skyward Sword,9.3,Nintendo,Nintendo,"Legend of Zelda, The - Skyward Sword (USA) (En,Fr,Es) (Rev 2).iso",4.4 GiB,13.1 GiB
Super Smash Bros. Brawl,9.3,Game Arts,Nintendo,Super Smash Bros. Brawl (USA) (Rev 2).iso,7.9 GiB,21.1 GiB
Metroid Prime Trilogy,9.1,Retro Studios,Nintendo,Metroid Prime Trilogy (USA).iso,7.9 GiB,29.0 GiB
Zack & Wiki: Quest for Barbaros' Treasure,8.7,Capcom,Capcom,Zack & Wiki - Quest for Barbaros' Treasure (USA).iso,4.4 GiB,33.4 GiB
Sin & Punishment: Star Successor,8.7,Treasure,Nintendo,Sin & Punishment - Star Successor (USA).iso,4.4 GiB,37.7 GiB
New Super Mario Bros. Wii,8.7,Nintendo,Nintendo,"New Super Mario Bros. Wii (USA) (En,Fr,Es) (Rev 2).iso",4.4 GiB,42.1 GiB
Tetris Party,8.6,Hudson Soft,"Tetris Online, Inc",Tetris Party (USA) (WiiWare).wad,34.2 MiB,42.1 GiB
Punch-Out!!,8.6,Next Level Games,Nintendo,"Punch-Out!! (USA) (En,Fr,Es) (Rev 1).iso",4.4 GiB,46.5 GiB
Kirby's Epic Yarn,8.6,Good-Feel,Nintendo,"Kirby's Epic Yarn (USA) (En,Fr,Es).iso",4.4 GiB,50.9 GiB
Fluidity,8.6,Curve Studios,Nintendo,Fluidity (USA) (WiiWare).wad,33.9 MiB,50.9 GiB
Boom Blox Bash Party,8.6,EA LA,Electronic Arts,"Boom Blox Bash Party (USA) (En,Fr,Es).iso",4.4 GiB,55.3 GiB
Bomberman Blast,8.6,Hudson,Hudson Soft,Bomberman Blast (USA) (WiiWare).wad,31.0 MiB,55.3 GiB
Tatsunoko vs. Capcom: Ultimate All-Stars,8.5,Eighting,Capcom,Tatsunoko vs. Capcom - Ultimate All-Stars (USA).iso,4.4 GiB,59.7 GiB
Super Paper Mario,8.5,Intelligent Systems,Nintendo,Super Paper Mario (USA) (Rev 2).iso,4.4 GiB,64.1 GiB
Maboshi's Arcade,8.5,Mindware,Nintendo,Maboshi's Arcade (USA) (WiiWare).wad,21.4 MiB,64.1 GiB
Boom Blox,8.5,EA LA,Electronic Arts,"Boom Blox (USA) (En,Fr,Es).iso",4.4 GiB,68.5 GiB
WarioWare: Smooth Moves,8.3,Intelligent Systems,Nintendo,"WarioWare - Smooth Moves (USA) (En,Fr,Es).iso",4.4 GiB,72.9 GiB
Rhythm Heaven Fever,8.3,Nintendo,Nintendo,Rhythm Heaven Fever (USA).iso,4.4 GiB,77.3 GiB
Trauma Team,8.2,Atlus,Atlus,Trauma Team (USA).iso,4.4 GiB,81.6 GiB
Mario Kart Wii,8.2,Nintendo,Nintendo,"Mario Kart Wii (USA) (En,Fr,Es).iso",4.4 GiB,86.0 GiB
Kirby's Dream Collection: Special Edition,8.2,HAL Labs,Nintendo,Kirby's Dream Collection - Special Edition (USA).iso,4.4 GiB,90.4 GiB
Art Style: ORBIENT,8.2,Nintendo,Nintendo,Art Style - ORBIENT (USA) (WiiWare).wad,22.7 MiB,90.4 GiB
MadWorld,8.1,PlatinumGames,Sega,"MadWorld (USA) (En,Fr,Es).iso",4.4 GiB,94.8 GiB
