title,score,developer,publisher,rom_name,size,running_total
Metal Gear Solid 2: Sons of Liberty,9.6,KCEJ,Konami,Metal Gear Solid 2 - Sons of Liberty (USA).iso,4.3 GiB,4.3 GiB
Gran Turismo 3: A-Spec,9.5,Polyphony Digital,SCEA,Gran Turismo 3 - A-Spec (USA) (v1.00).iso,3.6 GiB,7.9 GiB
Virtua Fighter 4,9.4,Sega AM2,Sega,Virtua Fighter 4 (USA).bin,543.4 MiB,8.4 GiB
Metal Gear Solid 3: Subsistence,9.4,Kojima Productions,Konami,"Metal Gear Solid 3 - Subsistence (USA) (En,Es) (Disc 3) (Existence) (Limited Edition).iso",11.5 GiB,19.9 GiB
Virtua Fighter 4: Evolution,9.3,Sega,Sega,Virtua Fighter 4 - Evolution (USA).iso,1.5 GiB,21.4 GiB
SSX (2000),9.3,EA Sports Big,EA Sports Big,SSX 3 (USA).iso,2.8 GiB,24.2 GiB
Final Fantasy XII,9.2,Square Enix,Square Enix,Final Fantasy XII (USA).iso,3.8 GiB,28.0 GiB
Klonoa 2: Lunatea's Veil,9.1,Namco,Namco,Klonoa 2 - Lunatea's Veil (USA) (Trade Demo).bin,171.9 MiB,28.1 GiB
Guitar Hero,9.1,Harmonix Music Systems,RedOctane,Guitar Hero (USA).iso,2.1 GiB,30.3 GiB
DOA2: Hardcore,9.1,Team Ninja,Tecmo,"DOA2 - Hardcore (USA) (En,Ja,Fr,De,Es,It).iso",4.4 GiB,34.6 GiB
Shin Megami Tensei: Persona 4,9.0,Atlus,Atlus,Shin Megami Tensei - Persona 4 (USA).iso,4.1 GiB,38.7 GiB
NCAA Football 2002,9.0,EA Sports,EA Sports,NCAA Football 2002 (USA).bin,673.1 MiB,39.4 GiB
Silent Hill 2 (2001),8.9,KCET,Konami,"Silent Hill 2 (USA) (En,Ja,Fr,De,Es,It) (v2.01).iso",3.6 GiB,43.0 GiB
Shin Megami Tensei: Persona 3 FES,8.9,Atlus,Atlus,Shin Megami Tensei - Persona 3 FES (USA).iso,4.3 GiB,47.3 GiB
Ace Combat 04: Shattered Skies,8.9,Project Aces ,Namco,Ace Combat 04 - Shattered Skies (USA).iso,3.3 GiB,50.6 GiB
Tekken 5,8.8,Namco,Namco,Tekken 5 (USA).iso,4.2 GiB,54.8 GiB
SOCOM II: U.S. Navy SEALs,8.7,Zipper Interactive,SCEA,SOCOM II - U.S. Navy SEALs (USA) (Beta) (2003-08-28).bin,676.7 MiB,55.4 GiB
Kingdom Hearts II,8.7,Square Enix,Square Enix,Kingdom Hearts II (USA).iso,3.7 GiB,59.1 GiB
Guilty Gear X2,8.7,Arc System Works,Sammy Studios,Guilty Gear X2 (USA).iso,3.8 GiB,62.9 GiB
We Love Katamari,8.6,Now Production,Namco,We Love Katamari (USA).iso,3.3 GiB,66.2 GiB
Suikoden III,8.6,KCET,Konami,Suikoden III (USA).iso,4.0 GiB,70.2 GiB
SoulCalibur III,8.6,Namco,Namco,Soulcalibur III (USA).iso,4.1 GiB,74.3 GiB
Shin Megami Tensei: Persona 3,8.6,Atlus,Atlus,Shin Megami Tensei - Persona 3 (USA).iso,4.2 GiB,78.5 GiB
Katamari Damacy,8.6,Now Production,Namco,Katamari Damacy (USA).iso,2.9 GiB,81.4 GiB
Amplitude (2003),8.6,Harmonix Music Systems,SCEA,Amplitude (USA).iso,1.6 GiB,83.1 GiB
WWE SmackDown! Here Comes the Pain,8.5,Yuke's,THQ,WWE SmackDown! Here Comes the Pain (USA).iso,4.2 GiB,87.3 GiB
Tekken Tag Tournament,8.5,Namco,Namco,Tekken Tag Tournament (USA) (v2.00).bin,694.4 MiB,88.0 GiB
Shadow Hearts: Covenant,8.5,Nautilus,Midway,Shadow Hearts - Covenant (USA) (Disc 2).iso,7.6 GiB,95.6 GiB
Rumble Racing,8.5,Electronic Arts,Electronic Arts,Rumble Racing (USA) (Beta) (2001-02-07).bin,552.4 MiB,96.2 GiB
Kingdom Hearts,8.5,SquareSoft,SquareSoft,Kingdom Hearts (USA).iso,2.8 GiB,99.0 GiB
Hot Shots Golf 3,8.5,Clap Hanz,SCEA,Hot Shots Golf 3 (USA) (v2.00).iso,1.2 GiB,100.2 GiB
DDRMAX: Dance Dance Revolution,8.5,KCET,Konami,DDRMAX - Dance Dance Revolution (USA).iso,1.2 GiB,101.4 GiB
Champions of Norrath,8.5,Snowblind Studios,Sony Online Entertainment,Champions of Norrath (USA).iso,7.7 GiB,109.1 GiB
Valkyrie Profile 2: Silmeria,8.4,Tri-Ace,Square Enix,Valkyrie Profile 2 - Silmeria (USA).iso,4.3 GiB,113.5 GiB
Quake III Revolution,8.4,Bullfrog Productions,Electronic Arts,Quake III - Revolution (USA).bin,711.0 MiB,114.2 GiB
Onimusha 2: Samurai's Destiny,8.4,Capcom,Capcom,Onimusha 2 - Samurai's Destiny (USA).iso,3.5 GiB,117.7 GiB
Maximo: Ghosts to Glory,8.4,Capcom,Capcom,Maximo - Ghosts to Glory (USA) (Beta) (2001-12-05).bin,687.4 MiB,118.4 GiB
Devil May Cry 3: Dante's Awakening,8.4,Capcom,Capcom,"Devil May Cry 3 - Dante's Awakening (USA) (En,Ja) (Special Edition).iso",4.1 GiB,122.5 GiB
Xenosaga Episode I: Der Wille zur Macht,8.3,Monolith Soft,Namco,Xenosaga Episode I - Der Wille zur Macht (USA).iso,7.9 GiB,130.4 GiB
Wipeout Fusion,8.3,Studio Liverpool,Bam Entertainment,WipEout Fusion (USA).iso,2.2 GiB,132.5 GiB
Rygar: The Legendary Adventure,8.3,Tecmo,Tecmo,Rygar - The Legendary Adventure (USA).iso,1.7 GiB,134.2 GiB
Odin Sphere,8.3,Vanillaware,Atlus,Odin Sphere (USA).iso,3.2 GiB,137.5 GiB
Maximo vs Army of Zin,8.3,Capcom,Capcom,Maximo vs Army of Zin (USA).iso,1.1 GiB,138.6 GiB
Karaoke Revolution (2003),8.3,Harmonix Music Systems,Konami,Karaoke Revolution (USA).iso,1.7 GiB,140.3 GiB
Frequency,8.3,Harmonix Music Systems,SCEA,Frequency (USA).bin,427.7 MiB,140.8 GiB
FIFA 2001,8.3,EA Canada,Electronic Arts,"FIFA 2001 (USA) (En,De,Es,Nl,Sv).bin",505.5 MiB,141.3 GiB
Theme Park Roller Coaster,8.2,Bullfrog Productions,Electronic Arts,Theme Park Roller Coaster (USA).bin,571.5 MiB,141.8 GiB
SOCOM: U.S. Navy SEALs,8.2,Zipper Interactive,SCEA,SOCOM - U.S. Navy SEALs (USA) (Beta) (2002-03-21).bin,258.2 MiB,142.1 GiB
SOCOM 3: U.S. Navy SEALs,8.2,Zipper Interactive,SCEA,SOCOM 3 - U.S. Navy SEALs (USA) (Beta) (2005-07-01).iso,1.2 GiB,143.2 GiB
Shin Megami Tensei: Nocturne,8.2,Atlus,Atlus,Shin Megami Tensei - Nocturne (USA).iso,4.0 GiB,147.2 GiB
Shin Megami Tensei: Digital Devil Saga 2,8.2,Atlus,Atlus,Shin Megami Tensei - Digital Devil Saga 2 (USA).iso,4.4 GiB,151.6 GiB
Ring of Red,8.2,Konami,Konami,Ring of Red (USA).bin,555.7 MiB,152.1 GiB
Karaoke Revolution Volume 3,8.2,Harmonix Music Systems,Konami,Karaoke Revolution Volume 3 (USA).iso,1.7 GiB,153.9 GiB
Gradius V,8.2,Treasure,Konami,Gradius V (USA).bin,444.3 MiB,154.3 GiB
Gitaroo Man,8.2,Koei/Inis,Koei,Gitaroo Man (USA).iso,2.7 GiB,157.0 GiB
DDRMAX2: Dance Dance Revolution,8.2,Konami,Konami,DDRMAX2 - Dance Dance Revolution (USA).iso,1.2 GiB,158.1 GiB
ATV Offroad Fury 2,8.2,Rainbow Studios,SCEA,ATV Offroad Fury 2 (USA) (v2.00).iso,4.2 GiB,162.3 GiB
ATV Offroad Fury,8.2,Rainbow Studios,SCEA,ATV Offroad Fury (USA) (v3.01).iso,841.5 MiB,163.1 GiB
Xenosaga Episode III: Also sprach Zarathustra,8.1,Monolith Soft,Namco Bandai Games,Xenosaga Episode III - Also sprach Zarathustra (USA) (Disc 2).iso,7.9 GiB,171.0 GiB
TimeSplitters,8.1,Free Radical Design,Eidos Interactive,TimeSplitters (USA) (v2.00).bin,686.2 MiB,171.6 GiB
Time Crisis II,8.1,Namco,Namco,Time Crisis II (USA).bin,703.7 MiB,172.3 GiB
Time Crisis 3,8.1,Namco,Namco,Time Crisis 3 (USA).iso,1.6 GiB,173.9 GiB
Onimusha: Dawn of Dreams,8.1,Capcom,Capcom,Onimusha - Dawn of Dreams (USA) (Disc 2).iso,8.7 GiB,182.7 GiB
MLB 2006,8.1,989 Sports,SCEA,MLB 2006 (USA).iso,4.3 GiB,187.0 GiB
Growlanser Generations,8.1,Career Soft,Working Designs,Growlanser Generations (USA) (Disc 2) (Growlanser III - The Dual Darkness).bin,1.3 GiB,188.3 GiB
Fatal Frame II: Crimson Butterfly,8.1,Tecmo,Tecmo,Fatal Frame II - Crimson Butterfly (USA).iso,3.0 GiB,191.3 GiB
